sample_id,bodysite,bioproject_id,mouth_skin,mouth_pharynx,skin_pharynx
SRR8556049,mouth,PRJNA521448,mouth,mouth,
SRR8556050,mouth,PRJNA521448,mouth,mouth,
SRR8556057,mouth,PRJNA521448,mouth,mouth,
SRR8556058,mouth,PRJNA521448,mouth,mouth,
SRR8556059,mouth,PRJNA521448,mouth,mouth,
SRR8556060,mouth,PRJNA521448,mouth,mouth,
SRR8556061,mouth,PRJNA521448,mouth,mouth,
SRR8556062,mouth,PRJNA521448,mouth,mouth,
SRR8555713,mouth,PRJNA521448,mouth,mouth,
SRR8555714,mouth,PRJNA521448,mouth,mouth,
SRR8555733,mouth,PRJNA521448,mouth,mouth,
SRR8555734,mouth,PRJNA521448,mouth,mouth,
SRR8555735,mouth,PRJNA521448,mouth,mouth,
SRR8555736,mouth,PRJNA521448,mouth,mouth,
SRR8555737,mouth,PRJNA521448,mouth,mouth,
SRR8555738,mouth,PRJNA521448,mouth,mouth,
SRR8555741,mouth,PRJNA521448,mouth,mouth,
SRR8555742,mouth,PRJNA521448,mouth,mouth,
SRR8555743,mouth,PRJNA521448,mouth,mouth,
SRR8555744,mouth,PRJNA521448,mouth,mouth,
SRR8555745,mouth,PRJNA521448,mouth,mouth,
SRR8555746,mouth,PRJNA521448,mouth,mouth,
SRR8555747,mouth,PRJNA521448,mouth,mouth,
SRR8555748,mouth,PRJNA521448,mouth,mouth,
SRR8555749,mouth,PRJNA521448,mouth,mouth,
SRR8555750,mouth,PRJNA521448,mouth,mouth,
SRR8555751,mouth,PRJNA521448,mouth,mouth,
SRR8555752,mouth,PRJNA521448,mouth,mouth,
SRR8555753,mouth,PRJNA521448,mouth,mouth,
SRR8555754,mouth,PRJNA521448,mouth,mouth,
SRR8555755,mouth,PRJNA521448,mouth,mouth,
SRR8555756,mouth,PRJNA521448,mouth,mouth,
SRR8555757,mouth,PRJNA521448,mouth,mouth,
SRR8555758,mouth,PRJNA521448,mouth,mouth,
SRR8555759,mouth,PRJNA521448,mouth,mouth,
SRR8555760,mouth,PRJNA521448,mouth,mouth,
SRR8555761,mouth,PRJNA521448,mouth,mouth,
SRR8555762,mouth,PRJNA521448,mouth,mouth,
SRR8555763,mouth,PRJNA521448,mouth,mouth,
SRR8555764,mouth,PRJNA521448,mouth,mouth,
SRR8555765,mouth,PRJNA521448,mouth,mouth,
SRR8555766,mouth,PRJNA521448,mouth,mouth,
SRR8555783,mouth,PRJNA521448,mouth,mouth,
SRR8555784,mouth,PRJNA521448,mouth,mouth,
SRR8555785,mouth,PRJNA521448,mouth,mouth,
SRR8555786,mouth,PRJNA521448,mouth,mouth,
SRR8555787,mouth,PRJNA521448,mouth,mouth,
SRR8555788,mouth,PRJNA521448,mouth,mouth,
SRR8555789,mouth,PRJNA521448,mouth,mouth,
SRR8555790,mouth,PRJNA521448,mouth,mouth,
SRR8555791,mouth,PRJNA521448,mouth,mouth,
SRR8555792,mouth,PRJNA521448,mouth,mouth,
SRR8555797,mouth,PRJNA521448,mouth,mouth,
SRR8555798,mouth,PRJNA521448,mouth,mouth,
SRR8555799,mouth,PRJNA521448,mouth,mouth,
SRR8555800,mouth,PRJNA521448,mouth,mouth,
SRR8555801,mouth,PRJNA521448,mouth,mouth,
SRR8555802,mouth,PRJNA521448,mouth,mouth,
SRR8555803,mouth,PRJNA521448,mouth,mouth,
SRR8555804,mouth,PRJNA521448,mouth,mouth,
SRR8555805,mouth,PRJNA521448,mouth,mouth,
SRR8555806,mouth,PRJNA521448,mouth,mouth,
SRR8555807,mouth,PRJNA521448,mouth,mouth,
SRR8555808,mouth,PRJNA521448,mouth,mouth,
SRR8555822,mouth,PRJNA521448,mouth,mouth,
SRR8555823,mouth,PRJNA521448,mouth,mouth,
SRR8555834,mouth,PRJNA521448,mouth,mouth,
SRR8555835,mouth,PRJNA521448,mouth,mouth,
SRR8555837,mouth,PRJNA521448,mouth,mouth,
SRR8555838,mouth,PRJNA521448,mouth,mouth,
SRR8555839,mouth,PRJNA521448,mouth,mouth,
SRR8555840,mouth,PRJNA521448,mouth,mouth,
SRR8555841,mouth,PRJNA521448,mouth,mouth,
SRR8555842,mouth,PRJNA521448,mouth,mouth,
SRR8555843,mouth,PRJNA521448,mouth,mouth,
SRR8555844,mouth,PRJNA521448,mouth,mouth,
SRR8555845,mouth,PRJNA521448,mouth,mouth,
SRR8555846,mouth,PRJNA521448,mouth,mouth,
SRR8555847,mouth,PRJNA521448,mouth,mouth,
SRR8555848,mouth,PRJNA521448,mouth,mouth,
SRR8555857,mouth,PRJNA521448,mouth,mouth,
SRR8555858,mouth,PRJNA521448,mouth,mouth,
SRR8555859,mouth,PRJNA521448,mouth,mouth,
SRR8555860,mouth,PRJNA521448,mouth,mouth,
SRR8555861,mouth,PRJNA521448,mouth,mouth,
SRR8555862,mouth,PRJNA521448,mouth,mouth,
SRR8555885,mouth,PRJNA521448,mouth,mouth,
SRR8555886,mouth,PRJNA521448,mouth,mouth,
SRR8555887,mouth,PRJNA521448,mouth,mouth,
SRR8555888,mouth,PRJNA521448,mouth,mouth,
SRR8555889,mouth,PRJNA521448,mouth,mouth,
SRR8555890,mouth,PRJNA521448,mouth,mouth,
SRR8555891,mouth,PRJNA521448,mouth,mouth,
SRR8555892,mouth,PRJNA521448,mouth,mouth,
SRR8555893,mouth,PRJNA521448,mouth,mouth,
SRR8555894,mouth,PRJNA521448,mouth,mouth,
SRR8555895,mouth,PRJNA521448,mouth,mouth,
SRR8555896,mouth,PRJNA521448,mouth,mouth,
SRR8555897,mouth,PRJNA521448,mouth,mouth,
SRR8555898,mouth,PRJNA521448,mouth,mouth,
SRR8555899,mouth,PRJNA521448,mouth,mouth,
SRR8555900,mouth,PRJNA521448,mouth,mouth,
SRR8555921,mouth,PRJNA521448,mouth,mouth,
SRR8555922,mouth,PRJNA521448,mouth,mouth,
SRR8555923,mouth,PRJNA521448,mouth,mouth,
SRR8555924,mouth,PRJNA521448,mouth,mouth,
SRR8555925,mouth,PRJNA521448,mouth,mouth,
SRR8555926,mouth,PRJNA521448,mouth,mouth,
SRR8555927,mouth,PRJNA521448,mouth,mouth,
SRR8555928,mouth,PRJNA521448,mouth,mouth,
SRR8555929,mouth,PRJNA521448,mouth,mouth,
SRR8555930,mouth,PRJNA521448,mouth,mouth,
SRR8555931,mouth,PRJNA521448,mouth,mouth,
SRR8555932,mouth,PRJNA521448,mouth,mouth,
SRR8555933,mouth,PRJNA521448,mouth,mouth,
SRR8555934,mouth,PRJNA521448,mouth,mouth,
SRR8555939,mouth,PRJNA521448,mouth,mouth,
SRR8555940,mouth,PRJNA521448,mouth,mouth,
SRR8555942,mouth,PRJNA521448,mouth,mouth,
SRR8555943,mouth,PRJNA521448,mouth,mouth,
SRR8555944,mouth,PRJNA521448,mouth,mouth,
SRR8555945,mouth,PRJNA521448,mouth,mouth,
SRR8555946,mouth,PRJNA521448,mouth,mouth,
SRR8555947,mouth,PRJNA521448,mouth,mouth,
SRR8555948,mouth,PRJNA521448,mouth,mouth,
SRR8555949,mouth,PRJNA521448,mouth,mouth,
SRR8555950,mouth,PRJNA521448,mouth,mouth,
SRR8555961,mouth,PRJNA521448,mouth,mouth,
SRR8555962,mouth,PRJNA521448,mouth,mouth,
SRR8555963,mouth,PRJNA521448,mouth,mouth,
SRR8555964,mouth,PRJNA521448,mouth,mouth,
SRR8555965,mouth,PRJNA521448,mouth,mouth,
SRR8555966,mouth,PRJNA521448,mouth,mouth,
SRR8555967,mouth,PRJNA521448,mouth,mouth,
SRR8555968,mouth,PRJNA521448,mouth,mouth,
SRR8555969,mouth,PRJNA521448,mouth,mouth,
SRR8555970,mouth,PRJNA521448,mouth,mouth,
SRR8555981,mouth,PRJNA521448,mouth,mouth,
SRR8555982,mouth,PRJNA521448,mouth,mouth,
SRR8555983,mouth,PRJNA521448,mouth,mouth,
SRR8555984,mouth,PRJNA521448,mouth,mouth,
SRR8555985,mouth,PRJNA521448,mouth,mouth,
SRR8555986,mouth,PRJNA521448,mouth,mouth,
SRR8555987,mouth,PRJNA521448,mouth,mouth,
SRR8555988,mouth,PRJNA521448,mouth,mouth,
SRR8555989,mouth,PRJNA521448,mouth,mouth,
SRR8555990,mouth,PRJNA521448,mouth,mouth,
SRR8555991,mouth,PRJNA521448,mouth,mouth,
SRR8555992,mouth,PRJNA521448,mouth,mouth,
SRR8555993,mouth,PRJNA521448,mouth,mouth,
SRR8555994,mouth,PRJNA521448,mouth,mouth,
SRR8555995,mouth,PRJNA521448,mouth,mouth,
SRR8555996,mouth,PRJNA521448,mouth,mouth,
SRR8555997,mouth,PRJNA521448,mouth,mouth,
SRR8555998,mouth,PRJNA521448,mouth,mouth,
SRR8555999,mouth,PRJNA521448,mouth,mouth,
SRR8556000,mouth,PRJNA521448,mouth,mouth,
SRR8556001,mouth,PRJNA521448,mouth,mouth,
SRR8556002,mouth,PRJNA521448,mouth,mouth,
SRR8556003,mouth,PRJNA521448,mouth,mouth,
SRR8556004,mouth,PRJNA521448,mouth,mouth,
SRR8556005,mouth,PRJNA521448,mouth,mouth,
SRR8556006,mouth,PRJNA521448,mouth,mouth,
SRR8556023,mouth,PRJNA521448,mouth,mouth,
SRR8556024,mouth,PRJNA521448,mouth,mouth,
SRR8556025,mouth,PRJNA521448,mouth,mouth,
SRR8556026,mouth,PRJNA521448,mouth,mouth,
SRR8556027,mouth,PRJNA521448,mouth,mouth,
SRR8556028,mouth,PRJNA521448,mouth,mouth,
SRR8556029,mouth,PRJNA521448,mouth,mouth,
SRR8556030,mouth,PRJNA521448,mouth,mouth,
SRR8556031,mouth,PRJNA521448,mouth,mouth,
SRR8556032,mouth,PRJNA521448,mouth,mouth,
