sample_id,bodysite,gut_pharynx ,gut_mouth,pharynx_mouth
SRR1560455,gut,gut,gut,
SRR1560272,gut,gut,gut,
SRR5098782,gut,gut,gut,
SRR5098781,gut,gut,gut,
SRR5098780,gut,gut,gut,
SRR5098779,gut,gut,gut,
SRR5098778,gut,gut,gut,
SRR5098777,gut,gut,gut,
SRR5098776,gut,gut,gut,
SRR5098775,gut,gut,gut,
SRR5098773,gut,gut,gut,
SRR5098772,gut,gut,gut,
SRR5098771,gut,gut,gut,
SRR5098770,gut,gut,gut,
SRR5098769,gut,gut,gut,
SRR5098768,gut,gut,gut,
SRR5098767,gut,gut,gut,
SRR5098765,gut,gut,gut,
SRR5098764,gut,gut,gut,
SRR5098762,gut,gut,gut,
SRR5098761,gut,gut,gut,
SRR5098759,gut,gut,gut,
SRR5098758,gut,gut,gut,
SRR5098757,gut,gut,gut,
SRR5098756,gut,gut,gut,
SRR5098755,gut,gut,gut,
SRR5098753,gut,gut,gut,
SRR5098752,gut,gut,gut,
SRR5098750,gut,gut,gut,
SRR5098749,gut,gut,gut,
SRR5098748,gut,gut,gut,
SRR5098747,gut,gut,gut,
SRR5098746,gut,gut,gut,
SRR5098743,gut,gut,gut,
SRR5098742,gut,gut,gut,
SRR5098741,gut,gut,gut,
SRR5098740,gut,gut,gut,
SRR5098739,gut,gut,gut,
SRR5098738,gut,gut,gut,
SRR5098737,gut,gut,gut,
SRR5098736,gut,gut,gut,
SRR5098735,gut,gut,gut,
SRR5098733,gut,gut,gut,
SRR5098732,gut,gut,gut,
SRR5098731,gut,gut,gut,
SRR5098730,gut,gut,gut,
SRR5098729,gut,gut,gut,
SRR5098728,gut,gut,gut,
SRR5098727,gut,gut,gut,
SRR5098726,gut,gut,gut,
SRR5098725,gut,gut,gut,
SRR5098724,gut,gut,gut,
SRR5098723,gut,gut,gut,
SRR5098722,gut,gut,gut,
SRR5098721,gut,gut,gut,
SRR5098719,gut,gut,gut,
SRR5098718,gut,gut,gut,
SRR5098717,gut,gut,gut,
SRR5098715,gut,gut,gut,
SRR5098714,gut,gut,gut,
SRR5098713,gut,gut,gut,
SRR5098712,gut,gut,gut,
SRR5098710,gut,gut,gut,
SRR5098706,gut,gut,gut,
SRR5098705,gut,gut,gut,
SRR5098704,gut,gut,gut,
SRR5098703,gut,gut,gut,
SRR5098702,gut,gut,gut,
SRR5098701,gut,gut,gut,
SRR5098700,gut,gut,gut,
SRR5098699,gut,gut,gut,
SRR5098698,gut,gut,gut,
SRR5098697,gut,gut,gut,
SRR5098696,gut,gut,gut,
SRR5098695,gut,gut,gut,
SRR5098694,gut,gut,gut,
SRR5098693,gut,gut,gut,
SRR5098690,gut,gut,gut,
SRR5098689,gut,gut,gut,
SRR5098688,gut,gut,gut,
SRR5098687,gut,gut,gut,
SRR5098686,gut,gut,gut,
SRR5098685,gut,gut,gut,
SRR5098682,gut,gut,gut,
SRR5098681,gut,gut,gut,
SRR5098680,gut,gut,gut,
SRR5098678,gut,gut,gut,
SRR5098675,gut,gut,gut,
SRR5098673,gut,gut,gut,
SRR5098671,gut,gut,gut,
SRR5098669,gut,gut,gut,
SRR5098668,gut,gut,gut,
SRR5098614,gut,gut,gut,
SRR5098613,gut,gut,gut,
SRR5098611,gut,gut,gut,
SRR5098610,gut,gut,gut,
SRR5098609,gut,gut,gut,
SRR5098607,gut,gut,gut,
SRR5098606,gut,gut,gut,
SRR5098605,gut,gut,gut,
SRR5098604,gut,gut,gut,
SRR5098603,gut,gut,gut,
SRR5098602,gut,gut,gut,
SRR5098601,gut,gut,gut,
SRR5098600,gut,gut,gut,
SRR5098599,gut,gut,gut,
SRR5098598,gut,gut,gut,
SRR5098597,gut,gut,gut,
SRR5098596,gut,gut,gut,
SRR5098595,gut,gut,gut,
SRR5098594,gut,gut,gut,
SRR5098593,gut,gut,gut,
